lastfirst,fullname,first_name,last_name,districtnumber,officeaddress,districtofficephone,faxnumber,emailaddresspublic
"Cox, III, Vincent E.","Vincent E. Cox, III",Vincent,Cox,85,"200 Derbigny
GGB, Suite 4300
Gretna, LA 70053",(504) 361-6013 ,(504) 361-6687,hse085@legis.la.gov
"Crews, Raymond J.",Raymond J. Crews,Raymond,Crews,8,"4921 Shed Road
Suite 200
Bossier City, LA 71111-5477",(318) 716-7532,(318) 239-1677,crewsr@legis.la.gov
"Davis, Paula",Paula P. Davis,Paula,Davis,69,"7902 Wrenwood Blvd.
Suite D
Baton Rouge, LA 70809",(225) 362-5301,(225) 362-5303,davisp@legis.la.gov
"DeVillier, Phillip",Phillip R. DeVillier,Phillip,DeVillier,41,"P. O. Box 986 
Eunice, LA 70535",(337) 457-0194,(337) 457-5649,devillierp@legis.la.gov
"Deshotel, Daryl Andrew",Daryl Andrew Deshotel,Daryl,Deshotel,28,"312 North Main Street
Marksville, LA 71351",(318) 253-8891,(318) 253-6377,hse028@legis.la.gov
"Dewitt, Jason Brian",Jason Brian Dewitt,Jason,Dewitt,25,"Physical Address:
7050 LA-1
Boyce, LA, 70409

Mailing Address:
P.O. Box 1406 
Tioga, LA 71477",(318) 277-7475 or (318) 277-7475,,hse025@legis.la.gov
"Dickerson, Kellee Hennessy",Kellee Hennessy Dickerson,Kellee,Dickerson,64,"32350 La Hwy 16
Building F, Suite 2
Denham Springs, LA  70706",(225) 380-4232,,hse064@legis.la.gov
"Domangue, Jessica",Jessica Domangue,Jessica,Domangue,53,"Physical Address: 
7833 W. Main Street
Houma, LA 70360

Mailing Address: 
P. O. Box 2365
Houma, LA 70361",(985) 858-2970,(985) 858-2972,hse053@legis.la.gov
"Echols, Michael Charles",Michael Charles Echols,Michael,Echols,14,"300 Washington Street
Suite 203
Monroe, LA  71201",(318) 598-4010,(318) 598-4019,hse014@legis.la.gov
"Edmonston, Kathy",Kathy Edmonston,Kathy,Edmonston,88,"2115 S. Burnside
Suite C
Gonzales, LA 70737",(225) 647-5646,(225) 644-7207,hse088@legis.la.gov
"Egan, Sr., Peter F.","Peter F. Egan, Sr.",Peter,Egan,74,"78461 Hwy 437
Covington, LA  70435",,,hse074@legis.la.gov
"Emerson, Julie",Julie Emerson,Julie,Emerson,39,"306 North Church Street
Carencro, LA 70520",(337) 886-4687,(337) 886-4689,emersonj@legis.la.gov
"Farnum, Les",Les Farnum,Les,Farnum,33,"P. O. Box 558
Sulphur, LA 70664",(337) 527-2377,(337) 527-2378,hse033@legis.la.gov
"Firment, Michael ""Gabe""","Michael ""Gabe"" Firment",Gabe,Firment,22,"Physical Address:
181 Barron Road
Pollock, LA 71467-3643

Mailing Address:
P. O. Box 640
Pollock, LA 71467",(318) 765-9606,(318) 765-9607,hse022@legis.la.gov
"Fisher, Adrian",Adrian Fisher,Adrian,Fisher,16,"P. O. Box 7563
Monroe, LA 71211",(318) 556-7001,(318) 556-7006,hse016@legis.la.gov
"Fontenot, Bryan",Bryan Fontenot,Bryan,Fontenot,55,"406 W 3rd Street
Suite 107 
Thibodaux, LA 70301-3014",(985) 447-0999,,hse055@legis.la.gov
"Freeman, Aimee Adatto",Aimee Adatto Freeman,Aimee Adatto,Freeman,98,"P.O. Box 850901
New Orleans, LA 70185",(504) 861-1614,(504) 861-1616,hse098@legis.la.gov
"Freiberg, Barbara Reich",Barbara Reich Freiberg,Barbara,Freiberg,70,"5800 One Perkins Place
Suite 7A
Baton Rouge, LA 70808",(225) 763-3500,(225) 763-3506,hse070@legis.la.gov
"Gadberry, Foy Bryan",Foy Bryan Gadberry,Foy,Gadberry,15,"1137 Ole Highway 15
West Monroe, LA 71291",(318) 396-1031,(318) 396-1032,hse015@legis.la.gov
"Gallé, Jr., Jack ""Jay"" William","Jack ""Jay"" William Gallé, Jr.",Jay,Galle,104,"790 Florida St. (US 190)
Suite 3B
Mandeville, LA 70448",(985) 624-4603 ,,hse104@legis.la.gov
"Geymann, Brett F.",Brett F. Geymann,Brett,Geymann,35,"P.O. Box 12703
Lake Charles, LA 70612-2703",(337) 855-8133,(337) 855-8285,hse035@legis.la.gov
"Glorioso, Brian Leonard",Brian Leonard Glorioso,Brian,Glorioso,90,"1301 Brownswitch Road
Suite C
Slidell, LA 70461",(985) 960-4251,,hse090@legis.la.gov
"Green, Jr., Kyle M.","Kyle M. Green, Jr.",Kyle,Green,83,"6641 Westbank Expwy.
Suite D
Marrero, LA 70072",(504) 349-8788,(504) 349-8790,hse083@legis.la.gov
"Hebert, Troy Jude",Troy Jude Hebert,Troy,Hebert,31,"3639 Ambassador Caffery Pkwy
Suite 214
Lafayette, LA 70503",(337) 347-7077,(337) 347-7073,hse031@legis.la.gov
"Henry, Chance Keith",Chance Keith Henry,Chance,Henry,42,"Physical Address:
509 N Parkerson Ave.
Crowley, LA 70526

Mailing Address:
P. O. Box 2720 
Crowley, LA 70527",(337) 384-8999,,hse042@legis.la.gov
"Hilferty, Stephanie",Stephanie Hilferty,Stephanie,Hilferty,94,"3331 Severn Ave.
Suite 206
Metairie, LA 70002",(504) 885-4154,(504) 885-4156,hilfertys@legis.la.gov
"Horton, Dodie",Dodie Horton,Dodie,Horton,9,"954 Hwy. 80
Suite 400
Haughton, LA 71037",(318) 949-2463,(318) 949-5019,hortond@legis.la.gov
"Hughes, Jason",Jason Hughes,Jason,Hughes,100,"P. O. Box 872461
New Orleans, LA 70187",(504) 246-9707,(504) 246-9709,hse100@legis.la.gov
"Illg, Jr., John R.","John R. Illg, Jr.",John,Illg,78,"6387 Jefferson Highway
Harahan, LA  70123

*Not ADA accessible. Please call to make accommodations.",(504) 737-0315 ,(504) 737-0316 ,hse078@legis.la.gov
"Jackson, Steven",Steven Jackson,Steven,Jackson,2,"228 Fannin Street
Shreveport, LA 71101
OR
228 N Spring Street
Shreveport, LA 71101",,,hse002@legis.la.gov
"Johnson, C. Travis",C. Travis Johnson,C. Travis,Johnson,21,"200 Advocate Row
Suite D
Vidalia, LA 71373",(225) 308-4269,(318) 336-9268,hse021@legis.la.gov
"Johnson, Mike",Michael T. Johnson,Michael,Johnson,27,"2757 Hwy. 28 East
Pineville, LA 71360",(318) 487-5377,(318) 487-5420,hse027@legis.la.gov
"Jordan, Edmond",Edmond Jordan,Edmond,Jordan,29,"2370 Towne Center Boulevard
Baton Rouge, LA 70806",(225) 925-3700,(225) 925-3701,jordane@legis.la.gov
"Kerner, Timothy P.",Timothy P. Kerner,Timothy,Kerner,84,"799 Jean Lafitte Blvd.
Lafitte, LA 70067-4102",(504) 689-7725,(504) 689-7727,hse084@legis.la.gov
"Knox, Alonzo L.",Alonzo L. Knox,Alonzo,Knox,93,"1239 Baronne Street
New Orleans, LA 70113",(504) 568-3101,(504) 568-3104,hse093@legis.la.gov
"LaCombe, Jeremy",Jeremy S. LaCombe,Jeremy,LaCombe,18,"P. O. Box 370
Livonia, LA 70755",(225) 637-3803,(225) 637-3805,hse018@legis.la.gov
"LaFleur, Vanessa Caston",Vanessa Caston LaFleur,Vanessa Caston,LaFleur,101,"2370 Towne Center Blvd.
1st Floor
Baton Rouge, LA 70806",(225) 925-6880,(225) 925-6881,hse101@legis.la.gov
"Landry, Jacob Gabriel",Jacob Jules Gabriel Landry,Jacob,Landry,49,"106 E Edwards Street
Erath, LA 70533 ",(337) 361-0631,,hse049@legis.la.gov
"Landry, Mandie",Mandie Landry,Mandie,Landry,91,"4035 Washington Ave.
New Orleans, LA  70125",(504) 383-3836,,hse091@legis.la.gov
"Larvadain, III, Ed","Ed Larvadain, III",Ed,Larvadain,26,"1811 MacArthur Drive
Alexandria, LA 71301",(318) 487-5441,(318) 487-5455,hse026@legis.la.gov
"Lyons, Rodney",Rodney Lyons,Rodney,Lyons,87,"5201 Westbank Expressway
Suite 114
Marrero, LA 70072",(504) 510-5417,(504) 349-8704,lyonsr@legis.la.gov
"Mack, Shane",Shane Mack,Shane,Mack,95,"Physical Address:
29724 S. Magnolia
Suite 3
Livingston, LA 70754

Mailing Address:
P. O. Box 1354 
Livingston, LA 70754",225-686-7500,,hse095@legis.la.gov
"Marcelle, C. Denise",C. Denise Marcelle,C. Denise,Marcelle,61,"1824 N. Acadian Thruway W.
Baton Rouge, LA 70802",(225) 359-9362,(225) 359-9363,marcelled@legis.la.gov
"McCormick, Danny",Danny McCormick,Danny,McCormick,1,"P. O. Box 160
Oil City, LA 71061",(318) 995-8040,,hse001@legis.la.gov
"McFarland, Jack",Jack G. McFarland,Jack,McFarland,13,"P. O. Box 143
Jonesboro, LA 71251",(318) 259-4275,(318) 259-4277,mcfarlandj@legis.la.gov
"McMahen, Wayne",Wayne McMahen,Wayne,McMahen,10,"736 Main Street
Minden, LA 71055",(318) 371-3092,(318) 371-3093,mcmahenw@legis.la.gov
"McMakin, Dixon Wallace",Dixon Wallace McMakin,Dixon,McMakin,68,"3613 Perkins Road
Unit F
Baton Rouge, LA  70808",(225) 384-0468,,hse068@legis.la.gov
"Melerine, Michael",Michael Melerine,Michael,Melerine,6,"401 Market Street
Suite 1130
Shreveport, LA 71101",(318) 553-2259,,hse006@legis.la.gov
"Mena, Shaun Raphael",Shaun Raphael Mena,Shaun,Mena,23,"4603 South Carrolton Ave
Suite E
New Orleans, LA 70119",(504) 396-4105 ,,hse023@legis.la.gov
"Miller, Dustin",Dustin Miller,Dustin,Miller,40,"1310 South Union Street
Suite 2
Opelousas, LA 70570",(337) 943-2900,(337) 943-2902,millerd@legis.la.gov
"Moore, Pat","Patricia ""Pat"" Moore",Pat,Moore,17,"300 Washington Street
Suite 308
Monroe, LA 71201",(318) 362-3014,(318) 362-3019,hse017@legis.la.gov
"Muscarello, Nicholas","Nicholas Muscarello, Jr.",Nicholas,"Muscarello, Jr.",86,"P. O. Box 1523
Hammond, LA 70404",(985) 974-0009,(985) 345-4447,muscarellon@legis.la.gov
"Myers, Brach Jerad",Brach Jerad Myers,Brach,Myers,45,"Physical Address: 
1438 South College
Lafayette, LA  70503

Mailing Address: 
P. O. Box 51499
Lafayette, LA  70505",(337) 295-1765,,hse045@legis.la.gov
"Newell, Candace N.",Candace N. Newell,Candace,Newell,99,"New Orleans Lake Front Airport Terminal Building
Suite 149
6001 Stars and Stripes 
New Orleans, LA 70126",(504) 240-3435,(504) 240-3437,hse099@legis.la.gov
"Orgeron, Joseph A.",Joseph A. Orgeron,Joseph,Orgeron,54,"Physical Address:
15063 East Main Street

Cut Off, LA 70345

Mailing Address:
P. O. Box 1746

Larose, LA 70373",(985) 693-9000,,hse054@legis.la.gov
"Owen, Charles",Charles Anthony Owen,Charles,Owen,30,"Physical Address:
6673 Evans Street
Rosepine, LA 70659

Mailing Address:
P. O. Box 55
Rosepine, LA 70659",(337) 460-8726,(337) 460-8727,hse030@legis.la.gov
"Phelps, Tammy T.",Tammy T. Phelps,Tammy,Phelps,3,"810 E. 70th Street
Suite A
Shreveport, LA 71106",(318) 862-3080,(318) 862-3088,hse003@legis.la.gov
"Riser, Neil",Neil Riser,Neil,Riser,20,"P. O. Box 117
Columbia, LA 71418",(318) 649-0977,(318) 649-0979,risern@legis.la.gov
"Romero, Troy D.",Troy D. Romero,Troy,Romero,37,"P. O. Box 287
Jennings, LA 70546",(337) 824-0376,(337) 824-4780,hse037@legis.la.gov
"Schamerhorn, Rodney",Rodney Wayne Schamerhorn,Rodney,Schamerhorn,24,"P. O. Box 83
Hornbeck, LA 71439",(318) 565-4959,,hse024@legis.la.gov
"Schlegel, Laurie",Laurie Schlegel,Laurie,Schlegel,82,"3238 Metairie Road
Suite B
Metairie, LA 70001",(504) 655-6887,,hse082@legis.la.gov
"Selders, Larry",Larry Selders,Larry,Selders,67,"251 Florida Street
Suite 300
Baton Rouge, LA 70801",(225) 342-7106,(225) 342-7117,hse067@legis.la.gov
"St. Blanc, III, Vincent ""Vinney""","Vincent ""Vinney"" J. St. Blanc, III",Vincent,St. Blanc,50,"733 Main Street 
Franklin, LA 70538",(337) 828-7778,(337) 828-4511,hse050@legis.la.gov
"Stagni, Joseph A.",Joseph A. Stagni,Joe,Stagni,92,"1201 Williams Blvd.
Kenner, LA 70062",(504) 465-3479,(504) 465-3481,stagnij@legis.la.gov
"Tarver, Phillip Eric",Phillip Eric Tarver,Phillip,Tarver,36,"132 Jamestown                
Lake Charles, LA 70605",(337) 475-8186,(337) 475-8188,hse036@legis.la.gov
"Taylor, Sylvia Elaine",Sylvia Elaine Taylor,Sylvia,Taylor,57,"Physical Address:
2013 West Airline Highway
Laplace, LA  70068
Mailing Address:
P. O. Box 421
Laplace, LA  70068",(985) 618-0166,,hse057@legis.la.gov
"Thomas, Polly",Polly Thomas,Polly,Thomas,80,"3216 N. Turnbull Drive
Suite B
Metairie, LA 70002",504-83POLLY (837-6559),(504) 324-9926,thomaspj@legis.la.gov
"Thompson, Francis C.",Francis C. Thompson,Francis,Thompson,19,"P. O. Box 68
Delhi, LA 71232",(318) 878-9408,(318) 878-5650,thompsof@legis.la.gov
"Turner, Christopher",Christopher Turner,Christopher,Turner,12,"111 N. Trenton Street
Suite A
Ruston, LA 71270-4321",(318) 251-5038,(318) 251-5091,hse012@legis.la.gov
"Ventrella, Lauren",Lauren Ventrella,Lauren,Ventrella,65,,,,hse065@legis.la.gov
"Villio, Debbie",Debbie Villio,Debbie,Villio,79,"4203 Williams Blvd.
Suite 200 
Kenner, LA 70065",(504) 468-8603,(504) 468-8605,hse079@legis.la.gov
"Walters, Joy",Joy Walters,Joy,Walters,4,"7505 Pines Road
Suite 1160
Shreveport, LA 71129",(318) 560-4059,,hse004@legis.la.gov
"Wilder, III, Roger William","Roger William Wilder, III",Roger,Wilder,71,"P. O. Box 1863
Denham Springs, LA 70727",(225) 380-7160,,hse071@legis.la.gov
"Wiley, Jeffrey ""Jeff"" Fons","Jeffrey Fons ""Jeff"" Wiley","Jeffery ""Jeff""",Wiley,81,"12481 Homeport Drive
Suite J
Maurepas, LA 70449",(225) 698-5400,,hse081@legis.la.gov
"Willard, Matthew",Matthew Willard,Matthew,Willard,97,"2021 Lakeshore Drive
Suite 140
New Orleans, LA 70122",(504) 283-4261,(504) 283-4263,hse097@legis.la.gov
"Wright, Mark",Mark Wright,Mark,Wright,77,"312 South Jefferson Street
Suite A & B
Covington, LA 70433",(985) 893-6262,(985) 893-6261,wrightm@legis.la.gov
"Wyble, John E.",John E. Wyble,John,Wyble,75,"943 Washington Street
Franklinton, LA 70438

2nd District Office:
748 Avenue F,
Bogalusa, LA 70427",(985) 515-1020 ,,hse075@legis.la.gov
"Young, Rashid Armand",Rashid Armand Young,Rashid,Young,11,"515 S Main Street
Homer, LA 71040 ",(318) 202-9275,,hse011@legis.la.gov
"Zeringue, Jerome",Jerome Zeringue,Jerome,Zeringue,52,"423 Goode Street
Houma, LA 70360",(985) 876-8823,(985) 876-0213,zeringuej@legis.la.gov
