lastfirst,fullname,first_name,last_name,districtnumber,officeaddress,districtofficephone,faxnumber,emailaddresspublic
"Henry, Cameron",J. Cameron Henry Jr.,Cameron,Henry,9,"2573 Metairie Road
Suite C
Metairie, LA  70001",(504)838-5433,,henryc@legis.la.gov
"Hensgens, Bob",Bob Hensgens,Bob,Hensgens,26,"122 N. State Street
Suite 100
Abbeville, LA  70510",(337)740-6425,(337)898-1160,sen26@legis.la.gov
"Hodges, Valarie",Valarie Hodges,Valarie,Hodges,13,"35055 La. Hwy. 16, Suite 2A
Denham Springs, LA 70706",(225) 791-2199,(225) 791-9203,sen13@legis.la.gov
"Jackson-Andrews, Katrina R.",Katrina R. Jackson-Andrews,Katrina,Jackson-Andrews,34,"4106 DeSiard St.
Monroe, LA  71203-4526",(318)343-2877,(318)343-2879,jacksonk@legis.la.gov
"Jenkins, Sam","Sam L. Jenkins, Jr.",Samuel,Jenkins,39,"2419 Kings Hwy.
Shreveport, LA 71103",(318) 632-5970,(318) 632-5972,sen39@legis.la.gov
"Kleinpeter, Caleb",Caleb Seth Kleinpeter,Caleb,Kleinpeter,17,"3741 Highway 1
Port Allen, LA  70767",(225)246-8838,(225)246-8839,sen17@legis.la.gov
"Lambert, Eddie J.",Eddie J. Lambert,Eddie,Lambert,18,"P.O. Box 241
Gonzales, LA 70707",(225)673-5048,(225)673-6980,lamberte@legis.la.gov
"Luneau, Jay",W. Jay Luneau,Jay,Luneau,29,"1010 Main Street
Pineville, LA  71360",(318)484-2288 ,(318)484-2287,luneauj@legis.la.gov
"McMath, Patrick",Patrick McMath,Patrick,McMath,11,"409 East Boston Street
Suite 200
Covington, LA  70433",(985)900-6278,,sen11@legis.la.gov
"Miguez, Blake",Blake Miguez,Blake,Miguez,22,"1101 E. Admiral Doyle Drive, Suite 301-8
New Iberia, LA 70560
",(337) 373-9400,(337) 373-9402 ,sen22@legis.la.gov
"Miller, Gregory A.",Gregory A. Miller,Gregory,Miller,19,"P. O. Box 190
Norco, LA 70079",(985) 764-9991,(985) 764-9993,sen19@legis.la.gov
"Mizell, Beth",Beth Mizell,Beth,Mizell,12,"1051 Main Street
Franklinton, LA  70438",(985)839-3936,(985)839-7714,mizellb@legis.la.gov
"Morris, John C. ""Jay""","John C. ""Jay"" Morris III",Jay,Morris,35,"1408 North 7th Street
West Monroe, La 71291
",(318)362-4270,(318)362-4277,morrisjc@legis.la.gov
"Owen, Robert ""Bob""","Robert ""Bob"" Owen",Robert,Owen,1,"250 Bouscaren Street
Suite 201
Slidell, LA  70458",(985) 639-0400,(985) 639-0402,sen01@legis.la.gov
"Pressly, Thomas A.",Thomas A. Pressly,Thomas,Pressly,38,"900 Pierremont Road, Suite 119
Shreveport, LA 71106",(318) 862-9920,(318) 862-9922,sen38@legis.la.gov
"Price, Edward J.","Edward J. ""Ed"" Price",Ed,Price,2,"2115 S. Burnside Ave.
Suite B
Gonzales, LA  70737",(225)644-6738,(225)644-6750,pricee@legis.la.gov
"Reese, Mike",Mike Reese,Mike,Reese,30,"1111 South 5th Street
Suite E
Leesville, LA  71446",(337)238-6435,,sen30@legis.la.gov
"Seabaugh, Alan",Alan Seabaugh,Alan,Seabaugh,31,"515 South Capitol Street
Many, LA  71449",(318) 676-7990,(318) 676-7992,sen31@legis.la.gov
"Stine, Jeremy",Jeremy P. Stine,Jeremy,Stine,27,"1011 Lakeshore Drive
Suite 515
Lake Charles, LA  70601",(337)491-2016,(337)491-2984,sen27@legis.la.gov
"Talbot, Kirk",Kirk Talbot,Kirk,Talbot,10,"9523 Jefferson Hwy.
Suite B
River Ridge, LA  70123",(504)736-7299,(504)736-7113,talbotk@legis.la.gov
"Wheat, Jr., William ""Bill""","William ""Bill"" Wheat, Jr.",Bill,Wheat,37,"P. O. Box 2473 
Ponchatoula, LA 70454",(985)543-4998,,sen37@legis.la.gov
"Womack, Glen",Glen Womack,Glen,Womack,32,"P.O. Box 660
Harrisonburg, LA  71340
",(318)744-0005,(318)744-0007,sen32@legis.la.gov
